Weight (kg),Weight (lbs),Male BMR (calories/day),Female BMR (calories/day)
40,88.18,1208.144,1086.837
41,90.39,1221.541,1096.084
42,92.59,1234.938,1105.331
43,94.8,1248.335,1114.578
44,97.01,1261.732,1123.825
45,99.21,1275.129,1133.072
46,101.42,1288.526,1142.319
47,103.62,1301.923,1151.566
48,105.82,1315.32,1160.813
49,108.03,1328.717,1170.06
50,110.23,1342.114,1179.307
51,112.44,1355.511,1188.554
52,114.64,1368.908,1197.801
53,116.85,1382.305,1207.048
54,119.05,1395.702,1216.295
55,121.25,1409.099,1225.542
56,123.46,1422.496,1234.789
57,125.66,1435.893,1244.036
58,127.87,1449.29,1253.283
59,130.07,1462.687,1262.53
60,132.28,1476.084,1271.777
61,134.48,1489.481,1281.024
62,136.69,1502.878,1290.271
63,138.89,1516.275,1299.518
64,141.1,1529.672,1308.765
65,143.3,1543.069,1318.012
66,145.5,1556.466,1327.259
67,147.71,1569.863,1336.506
68,149.91,1583.26,1345.753
69,152.12,1596.657,1355
70,154.32,1610.054,1364.247
71,156.53,1623.451,1373.494
72,158.73,1636.848,1382.741
73,160.94,1650.245,1391.988
74,163.14,1663.642,1401.235
75,165.35,1677.039,1410.482
76,167.55,1690.436,1419.729
77,169.75,1703.833,1428.976
78,171.96,1717.23,1438.223
79,174.16,1730.627,1447.47
80,176.37,1744.024,1456.717
81,178.57,1757.421,1465.964
82,180.78,1770.818,1475.211
83,182.98,1784.215,1484.458
84,185.18,1797.612,1493.705
85,187.39,1811.009,1502.952
86,189.59,1824.406,1512.199
87,191.8,1837.803,1521.446
88,194,1851.2,1530.693
89,196.21,1864.597,1539.94
90,198.41,1877.994,1549.187
91,200.62,1891.391,1558.434
92,202.82,1904.788,1567.681
93,205.03,1918.185,1576.928
94,207.23,1931.582,1586.175
95,209.44,1944.979,1595.422
96,211.64,1958.376,1604.669
97,213.84,1971.773,1613.916
98,216.05,1985.17,1623.163
99,218.25,1998.567,1632.41
100,220.46,2011.964,1641.657
101,222.66,2025.361,1650.904
102,224.87,2038.758,1660.151
103,227.07,2052.155,1669.398
104,229.28,2065.552,1678.645
105,231.48,2078.949,1687.892
106,233.68,2092.346,1697.139
107,235.89,2105.743,1706.386
108,238.09,2119.14,1715.633
109,240.3,2132.537,1724.88
110,242.5,2145.934,1734.127
111,244.71,2159.331,1743.374
112,246.91,2172.728,1752.621
113,249.11,2186.125,1761.868
114,251.32,2199.522,1771.115
115,253.52,2212.919,1780.362
116,255.73,2226.316,1789.609
117,257.93,2239.713,1798.856
118,260.14,2253.11,1808.103
119,262.34,2266.507,1817.35
120,264.55,2279.904,1826.597
