PN,Exercise,Description,Execute x1,Calories Burned (per rep.),Sets,Reps,Calories Burned (per workout),TCB
1plan,Bulgarian Split Squats,"Lower body exercise targeting legs and glutes, one leg elevated.","1. Stand facing away from a bench, holding a dumbbell in each hand. 2. Place the top of your right foot on the bench behind you. 3. Lower your body until your left thigh is parallel to the ground. 4. Push through your left heel to return to the starting position.",2,3,20,120,423
1plan,Pike Push-Ups,A bodyweight exercise targeting shoulders and triceps.,"1. Start in a push-up position with your hands shoulder-width apart and feet on the ground. 2. Lift your hips up, forming an inverted V shape with your body. 3. Lower your upper body towards the ground by bending your elbows. 4. Push back up to the starting position.",2,3,10,60,
1plan,Russian Twists with Medicine Ball,"Core exercise targeting obliques, involving twisting motion.","1. Sit on the floor with knees bent and feet lifted off the ground, holding a medicine ball with both hands. 2. Lean back slightly and clasp hands together. 3. Twist torso to the right, then to the left, while keeping core engaged.",2,3,30,180,
1plan,Box Jumps,Explosive lower body exercise involving jumping onto a box.,"1. Stand facing a sturdy box or platform at a comfortable distance. 2. Bend your knees and swing your arms back. 3. Explosively jump onto the box, landing with both feet. 4. Stand up fully on the box before stepping or jumping back down.",2,3,10,60,
1plan,Plank,Core-strengthening exercise where you maintain a plank position.,1. Start in a push-up position but with your weight supported on your forearms instead of your hands. 2. Keep your body in a straight line from head to heels. 3. Hold for the desired duration.,1,3,45,3,
,,,,,,,,
2plan,Jump Rope,Cardiovascular exercise involving jumping over a rotating rope.,1. Hold the handles of the jump rope in each hand. 2. Swing the rope over your head and jump over it with both feet. 3. Continue jumping for the desired duration.,2,3,2,4,418
2plan,Walking Lunges,Lower body exercise where you step forward and lower your body.,1. Stand tall with feet hip-width apart. 2. Take a step forward with one leg and lower your hips until both knees are bent at 90 degrees. 3. Push back up to the starting position.,2,3,24,144,
2plan,Superman Push-Ups,Dynamic exercise combining a push-up with a Superman pose.,"1. Start in a push-up position with hands slightly wider than shoulder-width apart. 2. Lower your chest towards the ground, then explosively push up while lifting your arms and legs off the ground.",2,3,10,60,
2plan,Bicycle Crunches,Abdominal exercise involving twisting motion like pedaling a bike.,1. Lie on your back with knees bent and hands behind your head. 2. Lift your shoulder blades off the ground and bring your right elbow towards your left knee while straightening your right leg. 3. Repeat on the other side.,1,3,40,120,
2plan,Glute Bridges,Lower body exercise targeting the glutes and hamstrings.,"1. Lie on your back with knees bent and feet flat on the ground. 2. Lift your hips towards the ceiling by squeezing your glutes. 3. Hold for a moment, then lower back down.",2,3,15,90,
,,,,,,,,
3plan,Skater Lunges,Dynamic lower body exercise mimicking skating movements.,"1. Stand with feet hip-width apart. 2. Jump sideways to the right, landing on your right foot with your left foot crossed behind. 3. Repeat the movement to the left.",2,3,24,144,324
3plan,Wide Push-Ups,Variation of push-ups targeting chest and shoulders more.,"1. Start in a push-up position with hands placed wider than shoulder-width apart. 2. Lower your chest towards the ground, keeping elbows at a 45-degree angle. 3. Push back up to starting position.",2,3,12,72,
3plan,Lateral Plank Walks,Core-strengthening exercise involving moving in a plank position.,"1. Start in a plank position with hands directly under shoulders and body in a straight line. 2. Step right hand and right foot to the right, followed by left hand and left foot. 3. Continue moving sideways.",2,3,10,60,
3plan,Fire Hydrants,Exercise targeting the glutes and outer thighs.,"1. Start on your hands and knees with back flat. 2. Lift one knee out to the side, keeping it bent at a 90-degree angle. 3. Lower the knee back down. Repeat on the other side.",1,3,30,45,
3plan,Hollow Body Hold,Core exercise involving maintaining a hollow body position.,"1. Lie on your back with arms extended overhead and legs straight. 2. Lift your arms, shoulders, and legs off the ground, creating a slight curve in your lower back. 3. Hold for the desired duration.",1,3,45,3,
,,,,,,,,
4plan,Commando Pull-Ups,Upper body exercise involving alternating grips on a pull-up bar.,"1. Start hanging from a pull-up bar with hands shoulder-width apart, palms facing away. 2. Pull yourself up until your chin is above the bar. 3. Lower yourself down, then pull up again with palms facing towards you.",2,3,8,48,375
4plan,Side Lunges,Lower body exercise where you step to the side and lower your body.,"1. Stand with feet hip-width apart. 2. Take a wide step to the side with one leg, bending the knee while keeping the other leg straight. 3. Push back up to the starting position.",2,3,24,144,
4plan,Russian Twists,"Core exercise targeting the obliques, involving twisting motion.","1. Sit on the floor with knees bent and feet lifted off the ground. 2. Lean back slightly and clasp hands together. 3. Twist torso to the right, then to the left, while keeping core engaged.",1,3,40,120,
4plan,Bear Crawls,Full-body exercise involving crawling on hands and feet.,"1. Start on your hands and feet with your hips lifted, forming a tabletop position. 2. Crawl forward by moving opposite hand and foot at the same time. 3. Continue crawling for the desired distance or time.",2,3,10,60,
4plan,Reverse Planks,"Core exercise targeting the abs, back, and shoulders.","1. Sit on the floor with legs extended and hands placed behind hips, fingers pointing towards feet. 2. Lift hips off the ground, creating a straight line from head to heels. 3. Hold for the desired duration.",2,3,30,3,
,,,,,,,,
5plan,Tuck Jumps,Explosive lower body exercise involving jumping while bringing knees towards chest.,"1. Start in a standing position with feet shoulder-width apart. 2. Jump explosively into the air, bringing knees towards chest. 3. Land softly and immediately jump again.",2,3,12,72,429
5plan,Shoulder Taps,Core exercise involving alternating taps on shoulders in a plank position.,1. Start in a plank position with hands directly under shoulders and body in a straight line. 2. Lift one hand off the ground and tap opposite shoulder. 3. Return hand to starting position and repeat on the other side.,2,3,30,180,
