,Exercise,Upper/Lower Body,Calories Burned (per rep.),Sets,Reps,Calories Burned (per workout),TCB,
1,Bulgarian Split Squats,Lower,2,3,20,120,423,
,Pike Push-Ups,Upper,2,3,10,60,423,
,Russian Twists with Medicine Ball,Core,2,3,30,180,423,
,Box Jumps,Lower,2,3,10,60,423,
,Plank,Core,1,3,45,3,423,
,,,,,,,,
2,Jump Rope,Full Body,2,3,2,4,418,
,Walking Lunges,Lower,2,3,24,144,418,
,Superman Push-Ups,Upper,2,3,10,60,418,
,Bicycle Crunches,Core,1,3,40,120,418,
,Glute Bridges,Lower,2,3,15,90,418,
,,,,,,,,
3,Skater Lunges,Lower,2,3,24,144,324,
,Wide Push-Ups,Upper,2,3,12,72,324,
,Lateral Plank Walks,Core,2,3,10,60,324,
,Fire Hydrants,Lower,1,3,30,45,324,
,Hollow Body Hold,Core,1,3,45,3,324,
,,,,,,,,
4,Commando Pull-Ups,Upper,2,3,8,48,375,
,Side Lunges,Lower,2,3,24,144,375,
,Russian Twists,Core,1,3,40,120,375,
,Bear Crawls,Full Body,2,3,10,60,375,
,Reverse Planks,Core,2,3,30,3,375,
,,,,,,,,
5,Tuck Jumps,Lower,2,3,12,72,429,
,Shoulder Taps,Upper,2,3,30,180,429,
,Bodyweight Rows,Upper,1,3,12,72,429,
,Mountain Climbers,Full Body,1,3,20,60,429,
,Wall Angels,Upper,1,3,15,45,429,
,,,,,,,,
6,Squat Jumps,Lower,2,3,12,72,516,
,Tricep Dips,Upper,1,3,12,36,516,
,Box Step-Ups,Lower,2,3,24,144,516,
,Reverse Lunges,Lower,2,3,24,144,516,
,Plank Jacks,Core,2,3,20,120,516,
,,,,,,,,
7,Jumping Lunges,Lower,2,3,24,144,786,
,Pike Push-Ups,Upper,2,3,12,72,786,
,Side Planks,Core,2,3,60,360,786,
,Mountain Climbers with Twist,Full Body,2,3,20,120,786,
,Star Jumps,Full Body,2,3,15,90,786,
,,,,,,,,
8,Burpees,Full Body,2,3,12,72,405,
,Diamond Push-Ups,Upper,2,3,12,72,405,
,Walking Lunges,Lower,2,3,24,144,405,
,Leg Raises,Core,1,3,15,45,405,
,Plank to Push-Up,Full Body,2,3,12,72,405,
,,,,,,,,
9,Box Jumps,Lower,2,3,12,72,646,
,Russian Twists with Medicine Ball,Core,2,3,40,240,646,
,Shoulder Taps,Upper,2,3,40,240,646,
,Jump Rope,Full Body,2,3,2,4,646,
,Glute Bridges,Lower,2,3,15,90,646,
,,,,,,,,
10,Mountain Climbers,Full Body,1,3,20,60,360,
,Spiderman Crawls,Full Body,2,3,20,120,360,
,Lying Leg Raises,Core,2,3,15,90,360,
,Bear Crawls,Full Body,2,3,10,60,360,
,Wall Walks,Full Body,2,3,5,30,360,
,,,,,,,,
11,Wide Push-Ups,Upper,2,3,12,72,180,
,Bodyweight Rows,Upper,1,3,10,30,180,
,Jumping Jacks,Full Body,2,3,30,3,180,
,Walking Lunges,Lower,2,3,24,72,180,
,Plank,Core,1,3,45,3,180,
,,,,,,,,
12,Pike Push-Ups,Upper,2,3,12,72,396,
,Reverse Lunges,Lower,2,3,24,72,396,
,Russian Twists,Core,1,3,40,120,396,
,Box Jumps,Lower,2,3,10,60,396,
,Superman Push-Ups,Upper,2,3,12,72,396,
,,,,,,,,
13,Diamond Push-Ups,Upper,2,3,12,72,352,
,Bulgarian Split Squats,Lower,2,3,24,72,352,
,Mountain Climber Push-Ups,Full Body,2,3,12,72,352,
,Bicycle Crunches,Core,1,3,40,120,352,
,Jump Rope,Full Body,2,3,2,16,352,
,,,,,,,,
14,Bodyweight Hamstring Curl,Lower,2,3,12,72,344,
,Clamshells,Lower,1,3,30,90,344,
